 127	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 128	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 129	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 130	      open	     0	 heartbeat	   552	    closed	     0	    mydist	   475	
 131	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 132	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 133	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 134	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 135	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 136	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 137	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 138	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 139	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 140	      open	     0	 heartbeat	   598	    closed	     0	    mydist	   475	
 141	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 142	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 143	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 144	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 145	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 146	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 147	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 148	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 149	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 150	      open	     0	 heartbeat	   644	    closed	     0	    mydist	   475	
 151	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 152	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 153	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 154	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 155	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 156	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 157	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 158	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 159	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 160	      open	     0	 heartbeat	   690	    closed	     0	    mydist	   475	
 161	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 162	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 163	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 164	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 165	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 166	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 167	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 168	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 169	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 170	      open	     0	 heartbeat	   736	    closed	     0	    mydist	   475	
 171	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 172	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 173	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 174	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 175	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 176	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 177	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 178	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 179	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 180	      open	     0	 heartbeat	   782	    closed	     0	    mydist	   475	
 181	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 182	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 183	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 184	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 185	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 186	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 187	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 188	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 189	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 190	      open	     0	 heartbeat	   828	    closed	     0	    mydist	   475	
 191	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 192	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 193	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 194	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 195	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 196	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 197	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 198	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 199	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 200	      open	     0	 heartbeat	   861	    closed	     0	    mydist	   475	
 201	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   475	
 202	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   700	
 203	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   787	
 204	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   787	
 205	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   787	
 206	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   787	
 207	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   787	
 208	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   787	
 209	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   787	
 210	      open	     0	 heartbeat	   894	    closed	     0	    mydist	   787	
 211	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 212	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 213	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 214	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 215	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 216	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 217	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 218	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 219	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 220	      open	     0	 heartbeat	   927	    closed	     0	    mydist	   787	
 221	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 222	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 223	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 224	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 225	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 226	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 227	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 228	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 229	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
 230	      open	     0	 heartbeat	   960	    closed	     0	    mydist	   787	
